window,site_id,MAE,RMSE,MAPE,meets_15_percent_target
4,SITE_023,1.799257738300815,3.0055031382235637,2.172078463616655,True
4,SITE_024,13.543820227152937,24.67093542277535,10.43142910633004,True
4,SITE_025,40.34890597763937,45.74996165322357,18.47046415847371,False
4,SITE_026,16.320728911366658,17.49259894980652,8.823740842214336,True
4,SITE_027,2.6275742038758274,3.1759284612687924,3.9698390654167417,True
4,SITE_028,14.67379034415272,28.09053067072595,28.494028451265496,False
4,SITE_029,4.545945615863887,5.259828890809896,6.263892873103649,True
4,SITE_030,18.822051388193948,21.787029117249233,8.763759525493567,True
5,SITE_001,19.600717293614974,22.62081472334145,9.796657638892508,True
5,SITE_002,4.383890971449562,4.912953748603859,5.382107557323094,True
5,SITE_003,30.742633714539295,41.38208344411797,13.036927004331917,True
5,SITE_004,6.887460265334649,7.137995051721856,9.508372875651643,True
5,SITE_005,22.48564993518457,24.85492566774795,11.196934135531054,True
5,SITE_006,19.003005416382624,22.87556319223762,10.58678246198026,True
5,SITE_007,21.98120678389134,26.95389040903553,11.8703190064495,True
5,SITE_008,30.8337274572143,37.21271133886101,15.70639231952075,False
5,SITE_009,4.732763046926255,5.480899568935077,5.953813343143816,True
5,SITE_010,27.96164809578309,32.24394975566764,13.871615841363273,True
5,SITE_011,30.717344386948728,41.307495207576906,18.979409443781186,False
5,SITE_012,6.969439920151869,7.487223039936048,8.981014536563285,True
5,SITE_013,29.869590950370092,42.31316500830948,19.640693507596595,False
5,SITE_014,26.748366620840176,33.34476443792456,27.34657647108949,False
5,SITE_015,4.413314967117792,4.959043452922804,6.05096054538911,True
5,SITE_016,30.757430813842237,34.90987965513421,12.956676168667752,True
5,SITE_017,25.634812761436535,30.62229717015758,11.601222060301394,True
5,SITE_018,34.24248296541104,38.0568545026589,15.948575571926243,False
5,SITE_019,3.721697238899715,4.188626717890806,4.49336130040777,True
5,SITE_020,18.577016057345833,25.64733496531486,8.362498046846046,True
5,SITE_021,43.40573340552024,49.439296242945744,16.894161397985126,False
5,SITE_022,47.861589217362436,54.209063536298586,25.847144563244072,False
5,SITE_023,4.389178421460893,4.979569349675694,5.225033331078591,True
5,SITE_024,27.98293141518032,37.62857796206029,17.72439081858365,False
